North.American.Product.Classification.System..NAPCS.,"Total, Industrial product price index (IPPI)",Fresh and frozen beef and veal [17211],Fresh and frozen pork [17212],"Fresh and frozen lamb, mutton and goat meat [17214]",Complete cattle feed [181121],Complete swine feed [181122]
10/1/20,100.9,103.8,101.8,98.3,101.4,103.1
11/1/20,100.5,109.7,86.4,99.2,110.2,107.6
12/1/20,102.1,97.3,82,98.6,113.2,108.3
1/1/21,104.3,102.7,83.5,98.5,117.3,117.4
2/1/21,107.4,114.8,87.6,98.5,119.4,121.8
3/1/21,109.2,113.2,89.4,101.8,123.3,122.3
4/1/21,111.5,132.4,95.9,102.3,122.7,123.8
5/1/21,114.8,144.9,105.3,102.4,126.8,134.2
6/1/21,115,147.2,112.2,103.1,124.1,128.7
7/1/21,115,132.2,92.6,107.5,127.1,127.1
8/1/21,114.6,156.8,92.2,107.7,129.8,126.1
9/1/21,116,150.4,93.9,107.7,133.9,126.1
10/1/21,117.6,128.9,87.9,117.5,130.7,121.4
11/1/21,117.6,134.8,79.9,119.1,134.1,115.7
12/1/21,118.2,129.2,78.9,118.7,134.6,121.8
1/1/22,121.3,132.7,79.5,118.8,139.3,126.6
2/1/22,124.6,132,85.3,121,147.2,130.7
3/1/22,129,123.9,81.9,122.2,155.5,148.2
4/1/22,130.5,127.9,87.5,115.8,159,153.2
5/1/22,132.7,127.3,89.8,116.1,162.4,155.7
6/1/22,131.6,125.9,90.2,115.7,162.9,153.1
7/1/22,128.4,124.4,89.6,115.7,157.3,151.1
8/1/22,126.5,121.4,88.4,115.7,154.5,143.1
9/1/22,126.3,119.2,89.3,115.7,154,144.1
10/1/22,129.2,118.5,90.9,113,155.4,147.1
11/1/22,128.2,124.5,86.1,108.2,158.8,145.4
12/1/22,127.1,128,80.9,108.6,158.2,146.7
1/1/23,127.1,135.6,79.1,108.6,159.9,145.4
2/1/23,126.4,136,76.3,108.7,159.8,145.4
3/1/23,126.2,145.7,74.6,100,159.4,145.3
4/1/23,125.9,147.9,80.7,100,158.6,140.2
5/1/23,125.2,149.8,83.9,100.7,155.6,128.6
6/1/23,124.3,155.7,84.9,95.3,152.1,124.5
7/1/23,124.3,140.2,85.1,95.4,149.7,127.2
8/1/23,126.5,144.5,87.3,95.8,148.4,130.4
9/1/23,127,142.8,83.4,96.1,147.8,134.1
10/1/23,125.8,145.7,86.7,94.3,146.1,131.8
11/1/23,125.3,147.8,86.7,89.4,146.5,127.1
